#{"t_start": 1746146199.3406408, "env_id": "CartPole-v1"}
r,l,t
8.649579,10,110.991383
13.013959,15,111.005398
13.807347,16,111.020524
11.400966,13,111.03395
11.727312,14,111.047919
12.053516,14,111.06146
11.014614,13,111.077681
13.621129,16,111.093658
13.736215,16,111.109333
12.947583,15,111.123025
13.805094,16,111.13875
12.797969,15,111.154895
12.992126,15,111.169459
10.224802,12,111.181012
13.034963,15,111.196367
10.224318,12,111.208023
11.169648,13,111.223308
12.168276,14,111.237314
13.029258,15,111.252662
12.272446,14,111.266147
13.695122,16,111.280965
11.846263,14,111.293611
12.961902,15,111.308993
11.000834,13,111.32312
12.993377,15,111.337927
13.624239,16,111.353646
13.648972,16,111.369698
10.216181,12,111.381183
10.073572,12,111.394021
11.796649,14,111.407552
12.960021,15,111.425851
11.903373,14,111.438941
11.915282,14,111.451679
10.217783,12,111.462479
14.372268,17,111.478119
10.957524,13,111.490902
13.014908,15,111.504817
11.78414,14,111.517445
13.00809,15,111.532926
10.178065,12,111.543714
13.001247,15,111.558145
14.583162,17,111.573452
13.592384,16,111.589586
12.911044,15,111.602681
11.880843,14,111.615349
10.204688,12,111.62598
12.805065,15,111.640314
13.056858,15,111.654889
12.12288,14,111.667452
11.972132,14,111.679945
11.114057,13,111.693687
13.039997,15,111.707267
10.256629,12,111.718112
12.85143,15,111.731747
11.005531,13,111.744035
11.793216,14,111.757292
12.833331,15,111.773623
11.014756,13,111.786388
10.148108,12,111.801719
13.060896,15,111.815352
10.999794,13,111.828007
13.73169,16,111.843693
11.731605,14,111.858936
11.119235,13,111.872223
13.947774,16,111.887972
12.001828,14,111.901376
10.053907,12,111.913824
11.042697,13,111.926459
11.888776,14,111.941768
14.679125,17,111.957997
11.912069,14,111.973313
12.89793,15,111.988457
16.548595,19,112.00559
12.018664,14,112.018281
13.720415,16,112.033545
11.760359,14,112.04758
13.033186,15,112.061414
11.023152,13,112.073622
11.835793,14,112.088639
11.985684,14,112.101576
10.977861,13,112.113514
13.627344,16,112.130501
13.678813,16,112.145911
13.188752,15,112.161731
14.702736,17,112.177457
13.857594,16,112.191773
13.605702,16,112.206776
11.088278,13,112.218553
9.321198,11,112.229822
13.769,16,112.244422
11.079453,13,112.258211
14.602662,17,112.273521
11.931009,14,112.285991
14.494185,17,112.301337
13.633383,16,112.316455
13.078386,15,112.331761
12.749571,15,112.345669
12.183477,14,112.358366
10.954581,13,112.371197
13.810773,16,112.386598
10.253573,12,112.397508
14.638442,17,112.412891
13.649524,16,112.428789
14.494984,17,112.444274
14.820755,17,112.459611
11.927328,14,112.472276
13.068691,15,112.486497
13.594984,16,112.502825
13.804885,16,112.517708
12.84534,15,112.532059
15.364553,18,112.548946
13.848172,16,112.564464
13.575976,16,112.579178
13.621966,16,112.593854
10.117473,12,112.605421
15.394964,18,112.623545
13.882481,16,112.63897
14.361508,17,112.65483
11.949493,14,112.668252
11.723225,14,112.681157
11.764057,14,112.695332
15.278086,18,112.712064
12.849063,15,112.726424
10.093854,12,112.73782
11.823738,14,112.752111
12.770854,15,112.766798
12.784334,15,112.783128
14.369965,17,112.799647
13.760631,16,112.8151
12.718325,15,112.829461
10.10452,12,112.841957
14.567331,17,112.862598
15.369339,18,112.881637
13.865534,16,112.896447
11.85762,14,112.909876
14.580516,17,112.926772
12.777507,15,112.940727
13.90289,16,112.955275
13.827403,16,112.970181
14.513944,17,112.987005
12.919637,15,113.000519
11.014744,13,113.012817
14.244399,17,113.029706
16.110529,19,113.049191
14.06493,16,113.064087
14.230999,17,113.079871
17.043224,20,113.098989
13.598236,16,113.116364
14.270025,17,113.133322
14.34939,17,113.149953
15.124538,18,113.167827
12.57634,15,113.183238
16.279019,19,113.20146
12.432044,15,113.215763
16.112203,19,113.234924
14.060899,17,113.253018
17.746697,21,113.27373
15.992171,19,113.292311
13.318712,16,113.308419
17.849592,21,113.330699
16.297443,19,113.351363
16.269892,19,113.370187
15.253668,18,113.389124
15.212996,18,113.405724
16.12087,19,113.423897
15.231605,18,113.440933
18.529954,22,113.461535
