#{"t_start": 1746150006.732833, "env_id": "CartPole-v1"}
r,l,t
277.838302,310,46.455915
202.754006,233,46.678018
321.038576,354,47.017591
475.824303,500,47.502246
479.393288,500,47.989818
220.676625,251,48.233006
477.57761,500,48.70834
405.134526,442,49.13832
193.567893,222,49.352981
479.39473,500,49.837377
464.865156,500,50.321574
324.74076,359,50.67089
468.499472,500,51.156018
469.342993,500,51.638888
470.336392,500,52.126303
471.819409,500,52.614293
474.010668,500,53.109291
464.067812,500,53.599002
455.857264,500,54.092149
265.109554,297,54.39293
464.161154,500,54.87984
459.278595,500,55.374585
460.851403,500,55.866066
452.856762,500,56.371373
445.465528,500,56.866511
441.933539,500,57.365989
275.90927,309,57.678381
458.707505,500,58.170199
459.621544,500,58.667195
466.956278,500,59.174938
456.993485,500,59.680617
458.387776,500,60.191995
221.630632,253,60.450434
466.076255,500,60.955945
292.446305,327,61.289268
463.455951,500,61.788974
468.244698,500,62.278713
214.908702,245,62.527704
241.361476,272,62.801404
460.585797,500,63.309677
459.465495,500,63.800142
384.542917,422,64.222965
454.14193,500,64.713305
314.419384,351,65.062267
310.698221,346,65.401383
293.081292,328,65.72424
461.551616,500,66.225147
456.688617,500,66.722894
397.355871,436,67.153006
461.842745,500,67.646933
459.772193,500,68.141631
421.475708,464,68.592981
455.655946,500,69.084359
459.894748,500,69.573626
459.73284,500,70.061406
459.499285,500,70.559159
465.206826,500,71.073355
467.705738,500,71.569265
459.820865,500,72.063779
462.891661,500,72.559117
468.246543,500,73.053967
458.927182,500,73.559628
462.387436,500,74.06855
460.148222,500,74.566769
447.010471,496,75.07302
471.778404,500,75.587585
460.92573,500,76.104959
473.697526,500,76.6003
463.51615,500,77.107037
469.515528,500,77.609592
435.450993,486,78.092301
461.313455,500,78.582157
402.660298,452,79.026188
460.977871,500,79.519915
460.472086,500,80.012253
468.066918,500,80.50359
463.534255,500,80.991205
464.517942,500,81.487075
461.019573,500,81.987462
458.017385,500,82.484291
461.634164,500,82.983754
468.253966,500,83.479427
459.255398,500,83.966158
456.62794,500,84.466658
455.89331,500,84.958611
460.304737,500,85.457875
458.532394,500,85.967725
459.965687,500,86.464101
461.759486,500,86.947817
461.381167,500,87.44046
460.36115,500,87.934446
458.491547,500,88.435802
457.18483,500,88.921526
468.0059,500,89.438007
458.514342,500,89.930222
462.741322,500,90.424674
461.68944,500,90.912887
458.739903,500,91.406506
458.800624,500,91.900725
466.360017,500,92.399595
466.645834,500,92.902024
465.767275,500,93.406159
